id,subject_id,subject_name,evaluation_method_code,evaluation_method_name,evaluation_method_pred,conduct_score_pred,severity_level,reason_text,solution_text
12,INF0203,Lập trình hướng đối tượng và ứng dụng,EM1,Đánh giá chuyên cần,0.7474,0.5698,Trung bình,[INF0203 - Lập trình hướng đối tượng và ứng dụng] Điểm danh chưa đồng bộ giữa các lớp trên LMS (ghi nhận học kỳ này),Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
13,SKI0061,Kỹ năng tư duy phản biện,EM1,Đánh giá chuyên cần,0.5465,0.7891,Thấp,[SKI0061 - Kỹ năng tư duy phản biện] Giảng viên cập nhật dữ liệu chuyên cần chậm,Gắn chuyên cần vào tiêu chí CLO cụ thể
14,INF1473,Học sâu,EM1,Đánh giá chuyên cần,0.4572,0.4956,Trung bình,[INF1473 - Học sâu] Giảng viên cập nhật dữ liệu chuyên cần chậm,Gắn chuyên cần vào tiêu chí CLO cụ thể
15,BSC0092,Phương pháp luận nghiên cứu khoa học,EM1,Đánh giá chuyên cần,0.7431,0.744,Thấp,[BSC0092 - Phương pháp luận nghiên cứu khoa học] Thiếu cơ chế nhắc nhở chuyên cần theo tuần (ghi nhận học kỳ này),Thông báo nhắc nhở theo tuần qua email/app
16,SKI0091,Kỹ năng khởi nghiệp,EM1,Đánh giá chuyên cần,0.8625,0.7894,Thấp,[SKI0091 - Kỹ năng khởi nghiệp] Giảng viên cập nhật dữ liệu chuyên cần chậm (ghi nhận học kỳ này),Áp dụng điểm danh tự động và cảnh báo sớm
17,INF1502,Xử lý hậu kỳ,EM1,Đánh giá chuyên cần,0.485,0.7581,Thấp,[INF1502 - Xử lý hậu kỳ] Giảng viên cập nhật dữ liệu chuyên cần chậm,Áp dụng điểm danh tự động và cảnh báo sớm
18,PLO0072,Lịch sử Đảng Cộng sản Việt Nam,EM1,Đánh giá chuyên cần,0.6449,0.7268,Thấp,[PLO0072 - Lịch sử Đảng Cộng sản Việt Nam] Thiếu cơ chế nhắc nhở chuyên cần theo tuần,Thông báo nhắc nhở theo tuần qua email/app
19,INF1003,Điện toán đám mây,EM1,Đánh giá chuyên cần,0.6077,0.778,Thấp,"[INF1003 - Điện toán đám mây] Sinh viên đi học không đều, bỏ tiết nhiều lần (ghi nhận học kỳ này)","Khen thưởng chuyên cần, phạt vắng không lý do"
20,INF1353,Phát triển ứng dụng Thực tế ảo,EM1,Đánh giá chuyên cần,0.8872,0.3856,Trung bình,"[INF1353 - Phát triển ứng dụng Thực tế ảo] Tham gia muộn, ảnh hưởng tiến độ bài giảng",Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
21,SKI0091,Kỹ năng khởi nghiệp,EM1,Đánh giá chuyên cần,0.5287,0.7759,Thấp,"[SKI0091 - Kỹ năng khởi nghiệp] Tham gia muộn, ảnh hưởng tiến độ bài giảng",Thông báo nhắc nhở theo tuần qua email/app
22,INF0137,Đồ án tốt nghiệp (**),EM1,Đánh giá chuyên cần,0.3352,0.9571,Tốt,[INF0137 - Đồ án tốt nghiệp (**)] Thiếu cơ chế nhắc nhở chuyên cần theo tuần,Thông báo nhắc nhở theo tuần qua email/app
23,INF1073,Xử lý ngôn ngữ tự nhiên,EM1,Đánh giá chuyên cần,0.6328,0.3743,Trung bình,"[INF1073 - Xử lý ngôn ngữ tự nhiên] Sinh viên đi học không đều, bỏ tiết nhiều lần","Khen thưởng chuyên cần, phạt vắng không lý do"
24,INF1303,Phân tích dữ liệu kinh doanh,EM1,Đánh giá chuyên cần,0.4929,0.338,Trung bình,"[INF1303 - Phân tích dữ liệu kinh doanh] Sinh viên đi học không đều, bỏ tiết nhiều lần",Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
25,INF1403,Anh văn chuyên ngành CNTT,EM1,Đánh giá chuyên cần,0.7678,0.0959,Cao,[INF1403 - Anh văn chuyên ngành CNTT] Điểm danh chưa đồng bộ giữa các lớp trên LMS (ghi nhận học kỳ này),Thông báo nhắc nhở theo tuần qua email/app
26,INF0893,Mật mã và An toàn thông tin,EM1,Đánh giá chuyên cần,0.6907,0.5669,Trung bình,[INF0893 - Mật mã và An toàn thông tin] Thiếu cơ chế nhắc nhở chuyên cần theo tuần (ghi nhận học kỳ này),Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
27,INF1213,Robot công nghiệp,EM1,Đánh giá chuyên cần,0.3323,0.6236,Thấp,"[INF1213 - Robot công nghiệp] Sinh viên đi học không đều, bỏ tiết nhiều lần (ghi nhận học kỳ này)","Khen thưởng chuyên cần, phạt vắng không lý do"
28,INF0992,Công nghệ IoT,EM1,Đánh giá chuyên cần,0.7226,0.4313,Trung bình,"[INF0992 - Công nghệ IoT] Tham gia muộn, ảnh hưởng tiến độ bài giảng","Khen thưởng chuyên cần, phạt vắng không lý do"
29,INF0823,Thiết kế web (frontend),EM1,Đánh giá chuyên cần,0.5075,0.3761,Trung bình,[INF0823 - Thiết kế web (frontend)] Thiếu cơ chế nhắc nhở chuyên cần theo tuần (ghi nhận học kỳ này),Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
30,SKI0021,"Kỹ năng lễ tân, khánh tiết, giao tiếp",EM1,Đánh giá chuyên cần,0.6672,0.5169,Trung bình,"[SKI0021 - Kỹ năng lễ tân, khánh tiết, giao tiếp] Sinh viên đi học không đều, bỏ tiết nhiều lần (ghi nhận học kỳ này)","Khen thưởng chuyên cần, phạt vắng không lý do"
31,INF0992,Công nghệ IoT,EM1,Đánh giá chuyên cần,0.7615,0.3746,Trung bình,"[INF0992 - Công nghệ IoT] Tham gia muộn, ảnh hưởng tiến độ bài giảng",Áp dụng điểm danh tự động và cảnh báo sớm
32,INF1502,Xử lý hậu kỳ,EM1,Đánh giá chuyên cần,0.3619,0.3928,Trung bình,[INF1502 - Xử lý hậu kỳ] Thiếu cơ chế nhắc nhở chuyên cần theo tuần (ghi nhận học kỳ này),Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
33,INF0263,Mạng máy tính,EM1,Đánh giá chuyên cần,0.4825,0.832,Thấp,[INF0263 - Mạng máy tính] Điểm danh chưa đồng bộ giữa các lớp trên LMS,Thông báo nhắc nhở theo tuần qua email/app
34,SKI0021,"Kỹ năng lễ tân, khánh tiết, giao tiếp",EM1,Đánh giá chuyên cần,0.5065,0.7086,Thấp,"[SKI0021 - Kỹ năng lễ tân, khánh tiết, giao tiếp] Điểm danh chưa đồng bộ giữa các lớp trên LMS (ghi nhận học kỳ này)",Áp dụng điểm danh tự động và cảnh báo sớm
35,SKI0091,Kỹ năng khởi nghiệp,EM1,Đánh giá chuyên cần,0.4762,0.4597,Trung bình,"[SKI0091 - Kỹ năng khởi nghiệp] Sinh viên đi học không đều, bỏ tiết nhiều lần (ghi nhận học kỳ này)",Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
36,INF1463,Khai phá dữ liệu,EM1,Đánh giá chuyên cần,1.0,0.3602,Trung bình,[INF1463 - Khai phá dữ liệu] Giảng viên cập nhật dữ liệu chuyên cần chậm,Áp dụng điểm danh tự động và cảnh báo sớm
37,INF1543,Thực tập tốt nghiệp,EM1,Đánh giá chuyên cần,0.3533,0.8451,Thấp,[INF1543 - Thực tập tốt nghiệp] Thiếu cơ chế nhắc nhở chuyên cần theo tuần,"Khen thưởng chuyên cần, phạt vắng không lý do"
38,INF1463,Khai phá dữ liệu,EM1,Đánh giá chuyên cần,0.6234,0.5581,Trung bình,[INF1463 - Khai phá dữ liệu] Thiếu cơ chế nhắc nhở chuyên cần theo tuần,Áp dụng điểm danh tự động và cảnh báo sớm
39,INF0802,Giới thiệu ngành và Kỹ năng nghề nghiệp,EM1,Đánh giá chuyên cần,0.8594,0.5699,Trung bình,"[INF0802 - Giới thiệu ngành và Kỹ năng nghề nghiệp] Tham gia muộn, ảnh hưởng tiến độ bài giảng","Khen thưởng chuyên cần, phạt vắng không lý do"
40,INF1263,Kiểm thử phần mềm,EM1,Đánh giá chuyên cần,0.8757,0.4909,Trung bình,"[INF1263 - Kiểm thử phần mềm] Tham gia muộn, ảnh hưởng tiến độ bài giảng",Áp dụng điểm danh tự động và cảnh báo sớm
41,INF1263,Kiểm thử phần mềm,EM1,Đánh giá chuyên cần,0.4891,0.223,Cao,[INF1263 - Kiểm thử phần mềm] Điểm danh chưa đồng bộ giữa các lớp trên LMS,Thông báo nhắc nhở theo tuần qua email/app
42,INF0992,Công nghệ IoT,EM1,Đánh giá chuyên cần,0.7196,0.5504,Trung bình,"[INF0992 - Công nghệ IoT] Sinh viên đi học không đều, bỏ tiết nhiều lần (ghi nhận học kỳ này)",Thông báo nhắc nhở theo tuần qua email/app
43,SKI0091,Kỹ năng khởi nghiệp,EM1,Đánh giá chuyên cần,0.5051,0.2466,Cao,[SKI0091 - Kỹ năng khởi nghiệp] Giảng viên cập nhật dữ liệu chuyên cần chậm (ghi nhận học kỳ này),Áp dụng điểm danh tự động và cảnh báo sớm
44,INF0912,An ninh mạng,EM1,Đánh giá chuyên cần,0.4158,0.6955,Thấp,[INF0912 - An ninh mạng] Thiếu cơ chế nhắc nhở chuyên cần theo tuần (ghi nhận học kỳ này),Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
45,BSC0092,Phương pháp luận nghiên cứu khoa học,EM1,Đánh giá chuyên cần,0.8881,0.5374,Trung bình,"[BSC0092 - Phương pháp luận nghiên cứu khoa học] Sinh viên đi học không đều, bỏ tiết nhiều lần",Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
46,PLO0072,Lịch sử Đảng Cộng sản Việt Nam,EM1,Đánh giá chuyên cần,0.5865,0.3622,Trung bình,"[PLO0072 - Lịch sử Đảng Cộng sản Việt Nam] Tham gia muộn, ảnh hưởng tiến độ bài giảng (ghi nhận học kỳ này)",Thông báo nhắc nhở theo tuần qua email/app
47,INF1493,Thiết kế đồ họa,EM1,Đánh giá chuyên cần,0.9543,0.8157,Thấp,[INF1493 - Thiết kế đồ họa] Thiếu cơ chế nhắc nhở chuyên cần theo tuần,"Khen thưởng chuyên cần, phạt vắng không lý do"
48,INF0243,Lập trình web (Backend),EM1,Đánh giá chuyên cần,0.7695,0.7196,Thấp,[INF0243 - Lập trình web (Backend)] Thiếu cơ chế nhắc nhở chuyên cần theo tuần,Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
49,INF1393,Kiến trúc máy tính,EM1,Đánh giá chuyên cần,0.5172,0.2257,Cao,"[INF1393 - Kiến trúc máy tính] Sinh viên đi học không đều, bỏ tiết nhiều lần",Áp dụng điểm danh tự động và cảnh báo sớm
50,INF0303,Lập trình trên thiết bị di động,EM1,Đánh giá chuyên cần,0.8926,0.1682,Cao,[INF0303 - Lập trình trên thiết bị di động] Điểm danh chưa đồng bộ giữa các lớp trên LMS,Áp dụng điểm danh tự động và cảnh báo sớm
51,INF0802,Giới thiệu ngành và Kỹ năng nghề nghiệp,EM1,Đánh giá chuyên cần,0.6505,0.5721,Trung bình,[INF0802 - Giới thiệu ngành và Kỹ năng nghề nghiệp] Thiếu cơ chế nhắc nhở chuyên cần theo tuần,Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
52,INF0653,Kiến trúc phần mềm hiện đại,EM1,Đánh giá chuyên cần,0.4218,0.3197,Trung bình,[INF0653 - Kiến trúc phần mềm hiện đại] Giảng viên cập nhật dữ liệu chuyên cần chậm,"Khen thưởng chuyên cần, phạt vắng không lý do"
53,INF0802,Giới thiệu ngành và Kỹ năng nghề nghiệp,EM1,Đánh giá chuyên cần,0.8238,0.112,Cao,"[INF0802 - Giới thiệu ngành và Kỹ năng nghề nghiệp] Tham gia muộn, ảnh hưởng tiến độ bài giảng",Gắn chuyên cần vào tiêu chí CLO cụ thể
54,SKI0091,Kỹ năng khởi nghiệp,EM1,Đánh giá chuyên cần,0.3674,0.4902,Trung bình,"[SKI0091 - Kỹ năng khởi nghiệp] Sinh viên đi học không đều, bỏ tiết nhiều lần",Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
55,INF1493,Thiết kế đồ họa,EM1,Đánh giá chuyên cần,0.6432,0.481,Trung bình,[INF1493 - Thiết kế đồ họa] Điểm danh chưa đồng bộ giữa các lớp trên LMS,"Khen thưởng chuyên cần, phạt vắng không lý do"
56,INF1433,Thiết kế minh hoạ,EM1,Đánh giá chuyên cần,0.4929,0.1982,Cao,"[INF1433 - Thiết kế minh hoạ] Sinh viên đi học không đều, bỏ tiết nhiều lần",Thông báo nhắc nhở theo tuần qua email/app
57,INF1203,Hệ thống thông minh,EM1,Đánh giá chuyên cần,0.6037,0.8845,Tốt,"[INF1203 - Hệ thống thông minh] Tham gia muộn, ảnh hưởng tiến độ bài giảng (ghi nhận học kỳ này)",Gắn chuyên cần vào tiêu chí CLO cụ thể
58,INF0983,Nhập môn khoa học dữ liệu,EM1,Đánh giá chuyên cần,0.7361,0.2366,Cao,[INF0983 - Nhập môn khoa học dữ liệu] Thiếu cơ chế nhắc nhở chuyên cần theo tuần,"Khen thưởng chuyên cần, phạt vắng không lý do"
59,INF1393,Kiến trúc máy tính,EM1,Đánh giá chuyên cần,0.3726,0.3861,Trung bình,"[INF1393 - Kiến trúc máy tính] Sinh viên đi học không đều, bỏ tiết nhiều lần (ghi nhận học kỳ này)",Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
60,INF1453,Đồ họa máy tính,EM1,Đánh giá chuyên cần,0.385,0.354,Trung bình,"[INF1453 - Đồ họa máy tính] Sinh viên đi học không đều, bỏ tiết nhiều lần",Áp dụng điểm danh tự động và cảnh báo sớm
61,INF1413,Cơ sở tạo hình,EM1,Đánh giá chuyên cần,0.7669,0.8733,Tốt,[INF1413 - Cơ sở tạo hình] Giảng viên cập nhật dữ liệu chuyên cần chậm (ghi nhận học kỳ này),"Khen thưởng chuyên cần, phạt vắng không lý do"
62,INF1443,Thiết kế UX/UI,EM1,Đánh giá chuyên cần,0.8301,0.5351,Trung bình,[INF1443 - Thiết kế UX/UI] Giảng viên cập nhật dữ liệu chuyên cần chậm (ghi nhận học kỳ này),Áp dụng điểm danh tự động và cảnh báo sớm
63,INF1143,Xử lý ảnh số và thị giác máy tính,EM1,Đánh giá chuyên cần,0.6837,0.6519,Thấp,[INF1143 - Xử lý ảnh số và thị giác máy tính] Thiếu cơ chế nhắc nhở chuyên cần theo tuần,Áp dụng điểm danh tự động và cảnh báo sớm
64,INF1493,Thiết kế đồ họa,EM1,Đánh giá chuyên cần,0.5192,0.6605,Thấp,[INF1493 - Thiết kế đồ họa] Giảng viên cập nhật dữ liệu chuyên cần chậm (ghi nhận học kỳ này),Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
65,INF1263,Kiểm thử phần mềm,EM1,Đánh giá chuyên cần,0.6871,0.7067,Thấp,"[INF1263 - Kiểm thử phần mềm] Sinh viên đi học không đều, bỏ tiết nhiều lần",Áp dụng điểm danh tự động và cảnh báo sớm
66,INF0203,Lập trình hướng đối tượng và ứng dụng,EM1,Đánh giá chuyên cần,0.5478,0.4392,Trung bình,"[INF0203 - Lập trình hướng đối tượng và ứng dụng] Sinh viên đi học không đều, bỏ tiết nhiều lần",Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
67,PLO0043,Triết học Mác - Lênin,EM1,Đánh giá chuyên cần,0.6677,0.4355,Trung bình,[PLO0043 - Triết học Mác - Lênin] Thiếu cơ chế nhắc nhở chuyên cần theo tuần (ghi nhận học kỳ này),Áp dụng điểm danh tự động và cảnh báo sớm
68,INF1383,Tin học cơ sở (Introduction to Informatics),EM1,Đánh giá chuyên cần,0.5216,0.5588,Trung bình,[INF1383 - Tin học cơ sở (Introduction to Informatics)] Giảng viên cập nhật dữ liệu chuyên cần chậm,Thông báo nhắc nhở theo tuần qua email/app
69,INF1393,Kiến trúc máy tính,EM1,Đánh giá chuyên cần,0.7293,0.7948,Thấp,"[INF1393 - Kiến trúc máy tính] Sinh viên đi học không đều, bỏ tiết nhiều lần (ghi nhận học kỳ này)",Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
70,INF1063,Học máy (Machine Learning),EM1,Đánh giá chuyên cần,0.785,0.6309,Thấp,[INF1063 - Học máy (Machine Learning)] Điểm danh chưa đồng bộ giữa các lớp trên LMS,Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
71,INF0802,Giới thiệu ngành và Kỹ năng nghề nghiệp,EM1,Đánh giá chuyên cần,0.7457,0.3442,Trung bình,[INF0802 - Giới thiệu ngành và Kỹ năng nghề nghiệp] Thiếu cơ chế nhắc nhở chuyên cần theo tuần (ghi nhận học kỳ này),Thông báo nhắc nhở theo tuần qua email/app
72,INF1543,Thực tập tốt nghiệp,EM1,Đánh giá chuyên cần,1.0,0.5186,Trung bình,[INF1543 - Thực tập tốt nghiệp] Điểm danh chưa đồng bộ giữa các lớp trên LMS,Gắn chuyên cần vào tiêu chí CLO cụ thể
73,INF1063,Học máy (Machine Learning),EM1,Đánh giá chuyên cần,0.3058,0.6321,Thấp,"[INF1063 - Học máy (Machine Learning)] Tham gia muộn, ảnh hưởng tiến độ bài giảng (ghi nhận học kỳ này)",Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
74,INF1543,Thực tập tốt nghiệp,EM1,Đánh giá chuyên cần,0.7647,0.4613,Trung bình,[INF1543 - Thực tập tốt nghiệp] Thiếu cơ chế nhắc nhở chuyên cần theo tuần,Áp dụng điểm danh tự động và cảnh báo sớm
75,INF0203,Lập trình hướng đối tượng và ứng dụng,EM1,Đánh giá chuyên cần,0.7833,0.3172,Trung bình,[INF0203 - Lập trình hướng đối tượng và ứng dụng] Điểm danh chưa đồng bộ giữa các lớp trên LMS (ghi nhận học kỳ này),"Khen thưởng chuyên cần, phạt vắng không lý do"
76,INF1433,Thiết kế minh hoạ,EM1,Đánh giá chuyên cần,0.8849,0.3787,Trung bình,"[INF1433 - Thiết kế minh hoạ] Tham gia muộn, ảnh hưởng tiến độ bài giảng (ghi nhận học kỳ này)",Thông báo nhắc nhở theo tuần qua email/app
77,INF0992,Công nghệ IoT,EM1,Đánh giá chuyên cần,0.5176,0.7275,Thấp,"[INF0992 - Công nghệ IoT] Tham gia muộn, ảnh hưởng tiến độ bài giảng (ghi nhận học kỳ này)",Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
78,INF0153,Hệ điều hành,EM1,Đánh giá chuyên cần,0.6592,0.1257,Cao,"[INF0153 - Hệ điều hành] Tham gia muộn, ảnh hưởng tiến độ bài giảng (ghi nhận học kỳ này)",Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
79,PLO0032,Tư tưởng Hồ Chí Minh,EM1,Đánh giá chuyên cần,0.6851,0.8524,Tốt,[PLO0032 - Tư tưởng Hồ Chí Minh] Giảng viên cập nhật dữ liệu chuyên cần chậm,Áp dụng điểm danh tự động và cảnh báo sớm
80,INF0073,Cấu trúc dữ liệu và giải thuật,EM1,Đánh giá chuyên cần,0.6107,0.5209,Trung bình,"[INF0073 - Cấu trúc dữ liệu và giải thuật] Tham gia muộn, ảnh hưởng tiến độ bài giảng",Gắn chuyên cần vào tiêu chí CLO cụ thể
81,INF0263,Mạng máy tính,EM1,Đánh giá chuyên cần,0.4713,0.5543,Trung bình,"[INF0263 - Mạng máy tính] Sinh viên đi học không đều, bỏ tiết nhiều lần",Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
82,INF0137,Đồ án tốt nghiệp (**),EM1,Đánh giá chuyên cần,0.7728,0.4097,Trung bình,"[INF0137 - Đồ án tốt nghiệp (**)] Sinh viên đi học không đều, bỏ tiết nhiều lần (ghi nhận học kỳ này)",Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
83,INF0073,Cấu trúc dữ liệu và giải thuật,EM1,Đánh giá chuyên cần,0.8251,0.9713,Tốt,[INF0073 - Cấu trúc dữ liệu và giải thuật] Thiếu cơ chế nhắc nhở chuyên cần theo tuần (ghi nhận học kỳ này),Áp dụng điểm danh tự động và cảnh báo sớm
84,INF0083,Cơ sở dữ liệu,EM1,Đánh giá chuyên cần,0.8048,0.6431,Thấp,"[INF0083 - Cơ sở dữ liệu] Sinh viên đi học không đều, bỏ tiết nhiều lần (ghi nhận học kỳ này)",Áp dụng điểm danh tự động và cảnh báo sớm
85,INF1463,Khai phá dữ liệu,EM1,Đánh giá chuyên cần,0.4867,0.4371,Trung bình,[INF1463 - Khai phá dữ liệu] Thiếu cơ chế nhắc nhở chuyên cần theo tuần (ghi nhận học kỳ này),Thông báo nhắc nhở theo tuần qua email/app
86,INF1473,Học sâu,EM1,Đánh giá chuyên cần,0.511,0.4298,Trung bình,"[INF1473 - Học sâu] Tham gia muộn, ảnh hưởng tiến độ bài giảng","Khen thưởng chuyên cần, phạt vắng không lý do"
87,INF0992,Công nghệ IoT,EM1,Đánh giá chuyên cần,0.4574,0.186,Cao,[INF0992 - Công nghệ IoT] Thiếu cơ chế nhắc nhở chuyên cần theo tuần (ghi nhận học kỳ này),Áp dụng điểm danh tự động và cảnh báo sớm
88,INF0433,Nhập môn lập trình,EM1,Đánh giá chuyên cần,0.4145,0.8301,Thấp,"[INF0433 - Nhập môn lập trình] Sinh viên đi học không đều, bỏ tiết nhiều lần","Khen thưởng chuyên cần, phạt vắng không lý do"
89,SKI0091,Kỹ năng khởi nghiệp,EM1,Đánh giá chuyên cần,0.9192,0.5252,Trung bình,[SKI0091 - Kỹ năng khởi nghiệp] Điểm danh chưa đồng bộ giữa các lớp trên LMS,Gắn chuyên cần vào tiêu chí CLO cụ thể
90,SKI0011,Kỹ năng thuyết trình,EM1,Đánh giá chuyên cần,0.9243,0.7192,Thấp,[SKI0011 - Kỹ năng thuyết trình] Điểm danh chưa đồng bộ giữa các lớp trên LMS (ghi nhận học kỳ này),"Khen thưởng chuyên cần, phạt vắng không lý do"
91,INF0153,Hệ điều hành,EM1,Đánh giá chuyên cần,0.3806,0.4641,Trung bình,"[INF0153 - Hệ điều hành] Tham gia muộn, ảnh hưởng tiến độ bài giảng (ghi nhận học kỳ này)",Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
92,INF0103,Nhập môn Trí tuệ nhân tạo,EM1,Đánh giá chuyên cần,0.732,0.2327,Cao,[INF0103 - Nhập môn Trí tuệ nhân tạo] Giảng viên cập nhật dữ liệu chuyên cần chậm,Áp dụng điểm danh tự động và cảnh báo sớm
93,INF1383,Tin học cơ sở (Introduction to Informatics),EM1,Đánh giá chuyên cần,0.7711,0.4185,Trung bình,[INF1383 - Tin học cơ sở (Introduction to Informatics)] Điểm danh chưa đồng bộ giữa các lớp trên LMS,Thông báo nhắc nhở theo tuần qua email/app
94,INF1423,Thiết kế hình ảnh,EM1,Đánh giá chuyên cần,0.5762,0.3456,Trung bình,[INF1423 - Thiết kế hình ảnh] Giảng viên cập nhật dữ liệu chuyên cần chậm (ghi nhận học kỳ này),Thông báo nhắc nhở theo tuần qua email/app
95,INF0153,Hệ điều hành,EM1,Đánh giá chuyên cần,1.0,0.3456,Trung bình,"[INF0153 - Hệ điều hành] Sinh viên đi học không đều, bỏ tiết nhiều lần (ghi nhận học kỳ này)",Gắn chuyên cần vào tiêu chí CLO cụ thể
96,INF1522,Dự án nghề cơ bản,EM1,Đánh giá chuyên cần,0.7454,0.5134,Trung bình,[INF1522 - Dự án nghề cơ bản] Thiếu cơ chế nhắc nhở chuyên cần theo tuần,"Khen thưởng chuyên cần, phạt vắng không lý do"
97,INF0653,Kiến trúc phần mềm hiện đại,EM1,Đánh giá chuyên cần,0.8594,0.7401,Thấp,"[INF0653 - Kiến trúc phần mềm hiện đại] Sinh viên đi học không đều, bỏ tiết nhiều lần",Gắn chuyên cần vào tiêu chí CLO cụ thể
98,INF0203,Lập trình hướng đối tượng và ứng dụng,EM1,Đánh giá chuyên cần,0.6221,0.3945,Trung bình,[INF0203 - Lập trình hướng đối tượng và ứng dụng] Thiếu cơ chế nhắc nhở chuyên cần theo tuần,Áp dụng điểm danh tự động và cảnh báo sớm
99,INF0653,Kiến trúc phần mềm hiện đại,EM1,Đánh giá chuyên cần,1.0,0.528,Trung bình,[INF0653 - Kiến trúc phần mềm hiện đại] Thiếu cơ chế nhắc nhở chuyên cần theo tuần (ghi nhận học kỳ này),Đồng bộ hoá dữ liệu điểm danh lên LMS sau buổi học
100,INF0983,Nhập môn khoa học dữ liệu,EM1,Đánh giá chuyên cần,0.8157,0.5664,Trung bình,[INF0983 - Nhập môn khoa học dữ liệu] Điểm danh chưa đồng bộ giữa các lớp trên LMS,Gắn chuyên cần vào tiêu chí CLO cụ thể
